user_id,timestamp,login_hour,country,ip_address,device,resource,auth_method,session_duration,command_count,failed_attempts,label
user_007,2026-07-08 20:07:56.080452,20,India,108.19.104.30,Windows,CRM,Password,43,4,0,Normal
user_008,2026-07-01 12:19:27.751482,12,India,22.25.36.67,Windows,Email,Password,46,8,0,Normal
user_007,2026-07-19 08:23:39.450640,8,India,125.67.65.43,Windows,CRM,Password,41,2,0,Normal
user_006,2026-06-30 16:15:50.111882,16,India,172.137.177.214,Windows,Email,Password,44,4,0,Normal
user_006,2026-07-14 01:03:16.894602,1,India,116.230.39.175,Windows,Email,Password,30,2,0,Normal
user_001,2026-07-01 14:18:28.154711,14,India,140.37.45.73,Windows,CRM,Password,24,7,0,Normal
user_008,2026-07-05 18:59:33.476357,18,India,14.251.39.92,Windows,Email,Password,21,7,0,Normal
user_007,2026-07-01 23:41:32.961966,23,India,157.148.233.216,Windows,CRM,Password,59,8,0,Normal
user_007,2026-07-16 05:26:47.002718,5,India,173.63.229.157,Windows,CRM,Password,19,10,0,Normal
user_001,2026-07-23 19:44:40.004429,19,India,152.24.148.139,Windows,Email,Password,22,6,0,Normal
user_007,2026-06-29 15:35:03.522952,15,India,81.174.94.173,Windows,Email,Password,38,4,0,Normal
user_008,2026-07-06 11:14:41.175807,11,India,103.89.112.73,Windows,CRM,Password,27,8,0,Normal
user_002,2026-07-05 23:59:08.677052,23,India,121.161.113.182,Windows,CRM,Password,54,7,0,Normal
user_004,2026-06-28 09:23:30.702094,9,India,50.180.181.217,Windows,Email,Password,43,4,0,Normal
user_008,2026-07-09 09:29:59.777556,9,India,95.123.129.56,Windows,CRM,Password,44,9,0,Normal
user_009,2026-07-03 04:24:30.666057,4,India,24.163.117.60,Windows,Email,Password,31,9,0,Normal
user_005,2026-07-22 14:04:28.374502,14,India,29.196.22.164,Windows,Email,Password,24,10,0,Normal
user_010,2026-07-02 19:04:39.418143,19,India,26.106.25.194,Windows,CRM,Password,18,3,0,Normal
user_006,2026-07-10 18:03:30.004964,18,India,28.177.109.194,Windows,CRM,Password,35,2,0,Normal
user_004,2026-07-10 15:29:38.170699,15,India,8.248.95.179,Windows,CRM,Password,31,3,0,Normal
user_008,2026-07-12 00:09:21.001780,0,India,41.19.16.39,Windows,Email,Password,57,5,0,Normal
user_009,2026-06-29 21:50:24.572354,21,India,90.168.235.219,Windows,CRM,Password,29,7,0,Normal
user_006,2026-07-23 04:24:56.861544,4,India,116.74.48.147,Windows,CRM,Password,46,10,0,Normal
user_008,2026-06-30 07:44:59.025578,7,India,167.56.51.107,Windows,Email,Password,44,3,0,Normal
user_002,2026-07-19 04:28:01.009692,4,India,148.215.161.78,Windows,Email,Password,57,8,0,Normal
user_010,2026-07-12 00:51:16.263215,0,India,177.172.3.194,Windows,Email,Password,20,5,0,Normal
